Station Display Name,Zone,Customer Category,Postal Code,EVSE Latitude and Longitude,Long,Lat
LADERA BEND / BUILDING 3,LADERA BEND,Workplace,78750,"(30.371215, -97.800887)",-97.800887,30.371215
LADERA BEND / GATED GARAGE 2,LADERA BEND,Workplace,78730,"(30.372159, -97.80166)",-97.80166,30.372159
LADERA BEND / GATED GARAGE GW,LADERA BEND,Workplace,78730,"(30.372427, -97.801834)",-97.801834,30.372427
LAMARHEIGHTS-AE / LAMAR 1,LAMARHEIGHTS-AE,Multifamily,78751,"(30.322464, -97.7292)",-97.7292,30.322464
LCPM / GARAGE 1,LCPM,Workplace,78705,"(30.306188, -97.743433)",-97.743433,30.306188
LEASING OFFICE / STATION 1,LEASING OFFICE,Multifamily,78737,"(30.231128000000002, -97.889867)",-97.889867,30.231128000000002
LIVESTRONG / 2201 E 6TH ST,LIVESTRONG,Healthcare,78702,"(30.25997, -97.718658)",-97.718658,30.25997
MIRA VISTA / STATION 1,MIRA VISTA,Workplace,78746,"(30.269525, -97.786972)",-97.786972,30.269525
MONOGRAM / HANDICAP,MONOGRAM,Multifamily,78701,"(30.270571, -97.748993)",-97.748993,30.270571
MONOGRAM / PARKING 2-3,MONOGRAM,Multifamily,78701,"(30.270562, -97.748959)",-97.748959,30.270562
MONOGRAM / PARKING 4-5,MONOGRAM,Multifamily,78701,"(30.270567, -97.748906)",-97.748906,30.270567
MUELLER MARKET / MUELLER 1,MUELLER MARKET,Retail,78723,"(30.301411, -97.699019)",-97.699019,30.301411
MUELLER MARKET / MUELLER 2,MUELLER MARKET,Retail,78723,"(30.302981, -97.698722)",-97.698722,30.302981
MUELLER MARKET / MUELLER 3,MUELLER MARKET,Retail,78723,"(30.301581, -97.699416)",-97.699416,30.301581
MUELLER MARKET / MUELLER 4,MUELLER MARKET,Retail,78723,"(30.301615, -97.69867)",-97.69867,30.301615
MUELLER MARKET / MUELLER 5,MUELLER MARKET,Retail,78723,"(30.302555, -97.69899)",-97.69899,30.302555
MUELLER MARKET / MUELLER 6,MUELLER MARKET,Retail,78723,"(30.301591, -97.699535)",-97.699535,30.301591
MUELLER MARKET / MUELLER ST2,MUELLER MARKET,Retail,78723,"(30.301649, -97.698956)",-97.698956,30.301649
MUELLER MARKET / MUELLERST1,MUELLER MARKET,Retail,78723,"(30.302909, -97.69916)",-97.69916,30.302909
NATIONAL INSTRU / 1&2,NATIONAL INSTRU,Workplace,78759,"(30.408792, -97.725312)",-97.725312,30.408792
NATIONAL INSTRU / 11&12;,NATIONAL INSTRU,Workplace,78759,"(30.408722, -97.725271)",-97.725271,30.408722
NATIONAL INSTRU / 13&14;,NATIONAL INSTRU,Workplace,78759,"(30.408775, -97.725228)",-97.725228,30.408775
NATIONAL INSTRU / 15&16;,NATIONAL INSTRU,Workplace,78759,"(30.408822, -97.725196)",-97.725196,30.408822
NATIONAL INSTRU / 17&18;,NATIONAL INSTRU,Workplace,78759,"(30.408534, -97.727744)",-97.727744,30.408534
NATIONAL INSTRU / 19&20;,NATIONAL INSTRU,Workplace,78759,"(30.40854, -97.72767)",-97.72767,30.40854
NATIONAL INSTRU / 3&4,NATIONAL INSTRU,Workplace,78759,"(30.408744, -97.725343)",-97.725343,30.408744
NATIONAL INSTRU / 5&6,NATIONAL INSTRU,Workplace,78759,"(30.408705, -97.725377)",-97.725377,30.408705
